,index,shot,region,accuracy,kappa,f1_micro,f1_macro,f1_weighted,recall_micro,recall_macro,recall_weighted,precision_micro,precision_macro,precision_weighted,jaccard_score_micro,jaccard_score_macro,jaccard_score_weighted
0,0,zero_shot,inf,0.11357597351074218,0.010842911140657269,0.11357597351074218,0.06464374917922994,0.13608416755583938,0.11357597351074218,0.06660685447946776,0.11357597351074218,0.11357597351074218,0.10852442654545126,0.24762400804841178,0.06044977684206069,0.03535884585988102,0.07478389071285955
1,1,one_shot,inf,0.3230061416625976,0.20030589365098023,0.3230061416625976,0.1659672363169227,0.3641771665123981,0.3230061416625976,0.1601719484770107,0.3230061416625976,0.3230061416625976,0.2180277613208733,0.49051552735972775,0.19473113473716663,0.10837574266988581,0.24026053296569672
2,2,five_shot,inf,0.3437783203125,0.22141924016653405,0.3437783203125,0.1761160172006857,0.3877687299421283,0.3437783203125,0.16783513564891078,0.3437783203125,0.3437783203125,0.2284747344929013,0.5138825257031031,0.20976972855515022,0.11611168624963376,0.2583713737024874
