,index,shot,region,accuracy,kappa,f1_micro,f1_macro,f1_weighted,recall_micro,recall_macro,recall_weighted,precision_micro,precision_macro,precision_weighted,jaccard_score_micro,jaccard_score_macro,jaccard_score_weighted
0,0,zero_shot,inf,0.3457270965576172,0.21896639794813272,0.3457270965576172,0.24854460752513577,0.3587986974492034,0.3457270965576172,0.2724674285560532,0.3457270965576172,0.3457270965576172,0.3599841591268503,0.518191505933873,0.2178652391450548,0.1673717613933797,0.24483742717429102
1,1,one_shot,inf,0.620865966796875,0.5034668355296051,0.620865966796875,0.39876189947241836,0.5712216252981182,0.620865966796875,0.43538838196379376,0.620865966796875,0.620865966796875,0.43635314673028447,0.6028882166541436,0.45743229114677936,0.31231811548139443,0.4522458327244494
2,2,five_shot,inf,0.6604312515258789,0.553319956317733,0.6604312515258789,0.4320874924166736,0.6135964652733328,0.6604312515258789,0.462593383257826,0.6604312515258789,0.6604312515258789,0.4769886363899501,0.6390694051098751,0.4986352095834245,0.34228179000080033,0.4911578673680718
