,train_region,test_region,loss,accuracy
0,FR10,FR10,0.4112427681684494,0.8194444179534912
1,FR10,FRB0,0.6143642961978912,0.6753472089767456
2,FR10,FRC1,0.7622749209403992,0.6553819179534912
3,FR10,FRC2,0.992872953414917,0.4982638955116272
4,FR10,FRD1,0.9198659658432007,0.5512152910232544
5,FR10,FRD2,0.7855932116508484,0.6440972089767456
6,FR10,FRE1,1.0682539641857147,0.5190972089767456
7,FR10,FRE2,0.7644374966621399,0.6614583730697632
8,FR10,FRF1,0.823790431022644,0.5980902910232544
9,FR10,FRF2,0.5098232626914978,0.7994791269302368
10,FR10,FRF3,1.0669893324375153,0.5173611044883728
11,FR10,FRG0,1.2322555780410767,0.4982638955116272
12,FR10,FRH0,0.7663277387619019,0.6579861044883728
13,FR10,FRI1,1.1765102744102478,0.5434027910232544
14,FR10,FRI2,0.8886196613311768,0.5833333730697632
15,FR10,FRI3,0.8963035643100739,0.5668402910232544
16,FR10,FRJ1,1.406377375125885,0.3897569477558136
17,FR10,FRJ2,0.9020547568798065,0.5555555820465088
18,FR10,FRK1,1.1312678456306458,0.5364583134651184
19,FR10,FRK2,0.78936767578125,0.5989583730697632
20,FR10,FRL0,1.2534207701683044,0.5017361044883728
21,FR10,FRM0,0.7948726415634155,0.6304348111152649
22,FRB0,FR10,0.6677204966545105,0.6675347089767456
23,FRB0,FRB0,0.2961580455303192,0.8602430820465088
24,FRB0,FRC1,0.5738028287887573,0.7595486044883728
25,FRB0,FRC2,0.6255804896354675,0.6675347089767456
26,FRB0,FRD1,0.5952046513557434,0.7204861044883728
27,FRB0,FRD2,0.5867642760276794,0.7048611044883728
28,FRB0,FRE1,0.6416167616844177,0.6736111044883728
29,FRB0,FRE2,0.7230719923973083,0.6770833730697632
30,FRB0,FRF1,0.692105770111084,0.6710069179534912
31,FRB0,FRF2,0.6589570343494415,0.6987847089767456
32,FRB0,FRF3,0.5319597125053406,0.7439236044883728
33,FRB0,FRG0,0.5748957544565201,0.6293402910232544
34,FRB0,FRH0,0.5976779162883759,0.6614583730697632
35,FRB0,FRI1,0.683291107416153,0.6892361044883728
36,FRB0,FRI2,0.6071631610393524,0.7465277910232544
37,FRB0,FRI3,0.7327841520309448,0.6814236044883728
38,FRB0,FRJ1,0.8192655444145203,0.5798611044883728
39,FRB0,FRJ2,0.729464054107666,0.6197916269302368
40,FRB0,FRK1,0.8020935654640198,0.6145833730697632
41,FRB0,FRK2,0.6359730064868927,0.6727430820465088
42,FRB0,FRL0,1.051336020231247,0.6041666269302368
43,FRB0,FRM0,0.8980299234390259,0.6304348111152649
44,FRC1,FR10,0.6788088977336884,0.6111111044883728
45,FRC1,FRB0,0.5285700857639313,0.7838541269302368
46,FRC1,FRC1,0.5257232487201691,0.7204861044883728
47,FRC1,FRC2,0.5982819199562073,0.7109375
48,FRC1,FRD1,0.5837899148464203,0.6875
49,FRC1,FRD2,0.48481301963329315,0.7734375
50,FRC1,FRE1,0.5792927145957947,0.7222222089767456
51,FRC1,FRE2,0.6125474572181702,0.6258680820465088
52,FRC1,FRF1,0.8012973070144653,0.5034722089767456
53,FRC1,FRF2,0.43076466023921967,0.7916666269302368
54,FRC1,FRF3,0.5507459342479706,0.7144097089767456
55,FRC1,FRG0,0.7179289758205414,0.5729166269302368
56,FRC1,FRH0,0.6032155752182007,0.6892361044883728
57,FRC1,FRI1,0.7297798991203308,0.6501736044883728
58,FRC1,FRI2,0.5037598460912704,0.7526041269302368
59,FRC1,FRI3,0.6598407030105591,0.6336805820465088
60,FRC1,FRJ1,0.9160194993019104,0.4878472089767456
61,FRC1,FRJ2,0.7801755368709564,0.546875
62,FRC1,FRK1,0.6806229054927826,0.6588541269302368
63,FRC1,FRK2,0.699564516544342,0.6510416269302368
64,FRC1,FRL0,0.9155333936214447,0.484375
65,FRC1,FRM0,0.7664481997489929,0.6521739363670349
66,FRC2,FR10,0.96326544880867,0.5598958730697632
67,FRC2,FRB0,0.5346445441246033,0.7543402910232544
68,FRC2,FRC1,0.6698036193847656,0.7161458730697632
69,FRC2,FRC2,0.3619947135448456,0.8880208730697632
70,FRC2,FRD1,0.450310155749321,0.8168402910232544
71,FRC2,FRD2,0.3811824172735214,0.7951388955116272
72,FRC2,FRE1,0.6508876383304596,0.6753472089767456
73,FRC2,FRE2,0.5319232791662216,0.7543402910232544
74,FRC2,FRF1,0.7562699019908905,0.6223958730697632
75,FRC2,FRF2,0.33403660356998444,0.8723958730697632
76,FRC2,FRF3,0.6259699165821075,0.6631944179534912
77,FRC2,FRG0,0.710869163274765,0.6258680820465088
78,FRC2,FRH0,0.6361662149429321,0.7265625
79,FRC2,FRI1,0.5549195408821106,0.7482638955116272
80,FRC2,FRI2,0.4144814908504486,0.7760416269302368
81,FRC2,FRI3,0.7395239472389221,0.7083333730697632
82,FRC2,FRJ1,1.1578084826469421,0.4904513955116272
83,FRC2,FRJ2,0.6858972311019897,0.6987847089767456
84,FRC2,FRK1,0.7188287973403931,0.7118055820465088
85,FRC2,FRK2,0.7097536325454712,0.6631944179534912
86,FRC2,FRL0,1.2994112968444824,0.4739583134651184
87,FRC2,FRM0,0.9366351366043091,0.6739130616188049
88,FRD1,FR10,0.8618355989456177,0.5572916269302368
89,FRD1,FRB0,0.4738484174013138,0.7560763955116272
90,FRD1,FRC1,0.6000695526599884,0.6770833730697632
91,FRD1,FRC2,0.4861668646335602,0.8003472089767456
92,FRD1,FRD1,0.2614610716700554,0.8819444179534912
93,FRD1,FRD2,0.3466161638498306,0.8602430820465088
94,FRD1,FRE1,0.5570093989372253,0.7126736044883728
95,FRD1,FRE2,0.6649535894393921,0.6614583730697632
96,FRD1,FRF1,0.6349062323570251,0.6744791269302368
97,FRD1,FRF2,0.4378634840250015,0.7977430820465088
98,FRD1,FRF3,0.6115756034851074,0.6710069179534912
99,FRD1,FRG0,0.7516306638717651,0.6276041269302368
100,FRD1,FRH0,0.5018290281295776,0.7760416269302368
101,FRD1,FRI1,0.5148670971393585,0.7977430820465088
102,FRD1,FRI2,0.5986487418413162,0.8055555820465088
103,FRD1,FRI3,0.6565743088722229,0.7005208730697632
104,FRD1,FRJ1,1.1051469445228577,0.5286458134651184
105,FRD1,FRJ2,0.6101865172386169,0.6944444179534912
106,FRD1,FRK1,0.5754168629646301,0.7282986044883728
107,FRD1,FRK2,0.6501796245574951,0.7161458730697632
108,FRD1,FRL0,1.3415825366973877,0.4210069477558136
109,FRD1,FRM0,0.9786426424980164,0.54347825050354
110,FRD2,FR10,0.7098367214202881,0.6831597089767456
111,FRD2,FRB0,0.5232165157794952,0.7560763955116272
112,FRD2,FRC1,0.7091143727302551,0.71875
113,FRD2,FRC2,0.5328060686588287,0.7795138955116272
114,FRD2,FRD1,0.5157264918088913,0.765625
115,FRD2,FRD2,0.41371649503707886,0.8446180820465088
116,FRD2,FRE1,0.5823834836483002,0.7517361044883728
117,FRD2,FRE2,0.5386386811733246,0.7543402910232544
118,FRD2,FRF1,0.9062060415744781,0.5668402910232544
119,FRD2,FRF2,0.4777769148349762,0.7560763955116272
120,FRD2,FRF3,0.7507632672786713,0.6727430820465088
121,FRD2,FRG0,0.7790655791759491,0.7065972089767456
122,FRD2,FRH0,0.6117322742938995,0.7309027910232544
123,FRD2,FRI1,0.6004347652196884,0.6779513955116272
124,FRD2,FRI2,0.4671141058206558,0.8090277910232544
125,FRD2,FRI3,0.6313766539096832,0.7100694179534912
126,FRD2,FRJ1,1.0554195642471313,0.5104166269302368
127,FRD2,FRJ2,0.6821812689304352,0.6440972089767456
128,FRD2,FRK1,0.9578344225883484,0.6015625
129,FRD2,FRK2,0.685336172580719,0.6770833730697632
130,FRD2,FRL0,1.0161153674125671,0.5078125
131,FRD2,FRM0,0.77486652135849,0.739130437374115
132,FRE1,FR10,0.6848475635051727,0.6223958730697632
133,FRE1,FRB0,0.5563125163316727,0.7586805820465088
134,FRE1,FRC1,0.6157465279102325,0.7369791269302368
135,FRE1,FRC2,0.5410259068012238,0.6848958730697632
136,FRE1,FRD1,0.5524381399154663,0.7126736044883728
137,FRE1,FRD2,0.43184807896614075,0.8107638955116272
138,FRE1,FRE1,0.4640889912843704,0.7916666269302368
139,FRE1,FRE2,0.5505936741828918,0.7543402910232544
140,FRE1,FRF1,0.758323609828949,0.6197916269302368
141,FRE1,FRF2,0.5560445487499237,0.7109375
142,FRE1,FRF3,0.5263071954250336,0.7673611044883728
143,FRE1,FRG0,0.874094694852829,0.5234375
144,FRE1,FRH0,0.5477391183376312,0.7647569179534912
145,FRE1,FRI1,0.6338986903429031,0.6302083730697632
146,FRE1,FRI2,0.5837249159812927,0.7230902910232544
147,FRE1,FRI3,0.7229708135128021,0.6397569179534912
148,FRE1,FRJ1,1.0100749135017395,0.4661458134651184
149,FRE1,FRJ2,0.7750303447246552,0.6180555820465088
150,FRE1,FRK1,0.6878889799118042,0.6258680820465088
151,FRE1,FRK2,0.7006912529468536,0.6449652910232544
152,FRE1,FRL0,0.9686769545078278,0.4982638955116272
153,FRE1,FRM0,0.8321045637130737,0.6304348111152649
154,FRE2,FR10,0.6347163915634155,0.6657986044883728
155,FRE2,FRB0,0.5106159746646881,0.734375
156,FRE2,FRC1,0.64558345079422,0.6414930820465088
157,FRE2,FRC2,0.6050242185592651,0.6848958730697632
158,FRE2,FRD1,0.5357604622840881,0.7465277910232544
159,FRE2,FRD2,0.4543830007314682,0.8263888955116272
160,FRE2,FRE1,0.5395087003707886,0.7248263955116272
161,FRE2,FRE2,0.43832896649837494,0.8029513955116272
162,FRE2,FRF1,0.7860606014728546,0.5928819179534912
163,FRE2,FRF2,0.4279088079929352,0.7777777910232544
164,FRE2,FRF3,0.5484840273857117,0.7144097089767456
165,FRE2,FRG0,0.6289822161197662,0.7421875
166,FRE2,FRH0,0.7473896145820618,0.6501736044883728
167,FRE2,FRI1,0.6647491753101349,0.6362847089767456
168,FRE2,FRI2,0.6294160485267639,0.6336805820465088
169,FRE2,FRI3,0.6098232269287109,0.6788194179534912
170,FRE2,FRJ1,0.9195219874382019,0.4973958134651184
171,FRE2,FRJ2,0.6876073777675629,0.6536458730697632
172,FRE2,FRK1,0.7524365484714508,0.6076388955116272
173,FRE2,FRK2,0.7723025381565094,0.6102430820465088
174,FRE2,FRL0,1.2068610787391663,0.4644097089767456
175,FRE2,FRM0,0.9037250280380249,0.5
176,FRF1,FR10,0.8278312683105469,0.6006944179534912
177,FRF1,FRB0,0.5489485263824463,0.7309027910232544
178,FRF1,FRC1,0.7356123328208923,0.6050347089767456
179,FRF1,FRC2,0.557272881269455,0.7065972089767456
180,FRF1,FRD1,0.5050025582313538,0.7378472089767456
181,FRF1,FRD2,0.4128456115722656,0.8385416269302368
182,FRF1,FRE1,0.6373275518417358,0.6736111044883728
183,FRF1,FRE2,0.6026040017604828,0.6857638955116272
184,FRF1,FRF1,0.4496791511774063,0.8411458730697632
185,FRF1,FRF2,0.5512056648731232,0.7092013955116272
186,FRF1,FRF3,0.6522462964057922,0.6371527910232544
187,FRF1,FRG0,0.915882408618927,0.5295138955116272
188,FRF1,FRH0,0.7025392353534698,0.6440972089767456
189,FRF1,FRI1,0.777147501707077,0.5954861044883728
190,FRF1,FRI2,0.6984294056892395,0.6440972089767456
191,FRF1,FRI3,0.775877982378006,0.6258680820465088
192,FRF1,FRJ1,0.9208762645721436,0.4973958134651184
193,FRF1,FRJ2,0.8470670282840729,0.5668402910232544
194,FRF1,FRK1,0.7464335560798645,0.6302083730697632
195,FRF1,FRK2,0.7553048729896545,0.6145833730697632
196,FRF1,FRL0,1.0942370295524597,0.4722222089767456
197,FRF1,FRM0,0.9335930943489075,0.6739130616188049
198,FRF2,FR10,0.6382905542850494,0.6050347089767456
199,FRF2,FRB0,0.5245416164398193,0.7126736044883728
200,FRF2,FRC1,0.6088447272777557,0.6649305820465088
201,FRF2,FRC2,0.5577621459960938,0.7248263955116272
202,FRF2,FRD1,0.6210555732250214,0.6597222089767456
203,FRF2,FRD2,0.5327711254358292,0.7439236044883728
204,FRF2,FRE1,0.6066300570964813,0.6553819179534912
205,FRF2,FRE2,0.5902097523212433,0.6493055820465088
206,FRF2,FRF1,0.8039841055870056,0.4939236044883728
207,FRF2,FRF2,0.4149855822324753,0.8289930820465088
208,FRF2,FRF3,0.5449329167604446,0.7144097089767456
209,FRF2,FRG0,0.769233763217926,0.5486111044883728
210,FRF2,FRH0,0.6475167572498322,0.6440972089767456
211,FRF2,FRI1,0.6625415086746216,0.6223958730697632
212,FRF2,FRI2,0.5398248434066772,0.7482638955116272
213,FRF2,FRI3,0.6448630392551422,0.6414930820465088
214,FRF2,FRJ1,1.03860142827034,0.4166666865348816
215,FRF2,FRJ2,0.7405730783939362,0.5746527910232544
216,FRF2,FRK1,0.6719870567321777,0.6432291269302368
217,FRF2,FRK2,0.7247254848480225,0.59375
218,FRF2,FRL0,1.0093138217926025,0.4036458134651184
219,FRF2,FRM0,0.6800563335418701,0.6304348111152649
220,FRF3,FR10,0.7970613539218903,0.5772569179534912
221,FRF3,FRB0,0.49805861711502075,0.7916666269302368
222,FRF3,FRC1,0.6088498532772064,0.7326388955116272
223,FRF3,FRC2,0.5598879754543304,0.7326388955116272
224,FRF3,FRD1,0.5229824483394623,0.8133680820465088
225,FRF3,FRD2,0.4259185343980789,0.8446180820465088
226,FRF3,FRE1,0.45734164118766785,0.7439236044883728
227,FRF3,FRE2,0.49707043170928955,0.7994791269302368
228,FRF3,FRF1,0.7729969918727875,0.5998263955116272
229,FRF3,FRF2,0.43465469777584076,0.8029513955116272
230,FRF3,FRF3,0.4418344795703888,0.8263888955116272
231,FRF3,FRG0,0.8441722095012665,0.5902777910232544
232,FRF3,FRH0,0.6082359403371811,0.65625
233,FRF3,FRI1,0.6683831512928009,0.6458333730697632
234,FRF3,FRI2,0.606990396976471,0.703125
235,FRF3,FRI3,0.6674449443817139,0.6223958730697632
236,FRF3,FRJ1,1.4106248021125793,0.4227430522441864
237,FRF3,FRJ2,0.7878918051719666,0.6024305820465088
238,FRF3,FRK1,0.7642392516136169,0.609375
239,FRF3,FRK2,0.8599564731121063,0.6319444179534912
240,FRF3,FRL0,1.3090640902519226,0.4583333134651184
241,FRF3,FRM0,0.7977871894836426,0.6521739363670349
242,FRG0,FR10,0.7048664093017578,0.5772569179534912
243,FRG0,FRB0,0.5723424255847931,0.7083333730697632
244,FRG0,FRC1,0.8222575187683105,0.4973958134651184
245,FRG0,FRC2,0.5900663137435913,0.6927083730697632
246,FRG0,FRD1,0.5412231087684631,0.75
247,FRG0,FRD2,0.5663514137268066,0.6944444179534912
248,FRG0,FRE1,0.7015447020530701,0.6362847089767456
249,FRG0,FRE2,0.6408534944057465,0.734375
250,FRG0,FRF1,0.677353173494339,0.6501736044883728
251,FRG0,FRF2,0.7336744368076324,0.6223958730697632
252,FRG0,FRF3,0.6816349923610687,0.5868055820465088
253,FRG0,FRG0,0.5577965974807739,0.6744791269302368
254,FRG0,FRH0,0.6538521945476532,0.6397569179534912
255,FRG0,FRI1,0.6842902898788452,0.65625
256,FRG0,FRI2,0.5598778426647186,0.7135416269302368
257,FRG0,FRI3,0.6994534730911255,0.6553819179534912
258,FRG0,FRJ1,0.6528701484203339,0.6536458730697632
259,FRG0,FRJ2,0.707790732383728,0.6137152910232544
260,FRG0,FRK1,0.7021590173244476,0.6276041269302368
261,FRG0,FRK2,0.5798234194517136,0.7126736044883728
262,FRG0,FRL0,0.7511940598487854,0.5763888955116272
263,FRG0,FRM0,0.7731215357780457,0.6739130616188049
264,FRH0,FR10,0.7149563878774643,0.6814236044883728
265,FRH0,FRB0,0.5528682172298431,0.7699652910232544
266,FRH0,FRC1,0.6077019721269608,0.7743055820465088
267,FRH0,FRC2,0.5436913669109344,0.7126736044883728
268,FRH0,FRD1,0.6320806741714478,0.6970486044883728
269,FRH0,FRD2,0.5593266189098358,0.7578125
270,FRH0,FRE1,0.5150620341300964,0.7152777910232544
271,FRH0,FRE2,0.6701988279819489,0.6944444179534912
272,FRH0,FRF1,0.842044472694397,0.6284722089767456
273,FRH0,FRF2,0.4854629784822464,0.8055555820465088
274,FRH0,FRF3,0.6641005277633667,0.7161458730697632
275,FRH0,FRG0,0.7231787145137787,0.6788194179534912
276,FRH0,FRH0,0.43046167492866516,0.8098958730697632
277,FRH0,FRI1,0.6275847256183624,0.7326388955116272
