,index,shots,accuracy,kappa,f1_micro,f1_macro,f1_weighted,recall_micro,recall_macro,recall_weighted,precision_micro,precision_macro,precision_weighted,jaccard_score_micro,jaccard_score_macro,jaccard_score_weighted
0,0,zero_shot,0.5495098039215687,0.46902196193887025,0.5495098039215687,0.382142457489306,0.5484427248644602,0.5495098039215687,0.4000230452840744,0.5495098039215687,0.5495098039215687,0.37863377143653637,0.5554845106732013,0.3788442041230145,0.2850213902263602,0.4110201616913307
1,1,one_shot,0.5882352941176471,0.5149343246381858,0.5882352941176471,0.4433373990931565,0.5893442915865822,0.5882352941176471,0.4552553989957427,0.5882352941176471,0.5882352941176471,0.45325188484909906,0.6021373602784293,0.4166666666666667,0.3299409046924987,0.44629949653382334
2,2,two_shot,0.6063725490196078,0.5360882330660184,0.6063725490196078,0.48227905730009535,0.607610891454785,0.6063725490196078,0.4918661079704275,0.6063725490196078,0.6063725490196078,0.4911447304599269,0.6188700746606798,0.43510376362996833,0.36423898698343904,0.4641249253959158
3,3,three_shot,0.6311274509803921,0.564905309297453,0.6311274509803921,0.5104405841662003,0.6324402336217377,0.6311274509803921,0.5227368978409547,0.6311274509803921,0.6311274509803921,0.514936081953315,0.6458173755064011,0.4610564010743062,0.39016057974460666,0.4854185140006374
4,4,four_shot,0.6247549019607843,0.557609717957144,0.6247549019607843,0.5149539988045747,0.6267605430602777,0.6247549019607843,0.5287706123164171,0.6247549019607843,0.6247549019607843,0.5157830672864467,0.6407564127027661,0.45428622348957404,0.3965538352757295,0.4812372450297259
5,5,five_shot,0.6367647058823529,0.5716690185144256,0.6367647058823529,0.5256011556655136,0.6384556737662205,0.6367647058823529,0.5391463353809964,0.6367647058823529,0.6367647058823529,0.5264533799578215,0.6525164404481633,0.4670981661272923,0.40904407779253854,0.49460157622563267
6,6,six_shot,0.641421568627451,0.5775288469636992,0.641421568627451,0.5256346963066099,0.6427382127695895,0.641421568627451,0.5450422186035022,0.641421568627451,0.641421568627451,0.5236168601325053,0.6580695051771918,0.47212700703590116,0.40828125197275017,0.4988656981456241
7,7,seven_shot,0.6549019607843137,0.5934638765241637,0.6549019607843137,0.5365878397313613,0.6560812552640434,0.6549019607843137,0.5572385796346332,0.6549019607843137,0.6549019607843137,0.5349789104932303,0.6720920509977936,0.4868804664723032,0.41998744203571264,0.5128596422559581
8,8,eight_shot,0.6566176470588235,0.5953724736794045,0.6566176470588235,0.5344541102238404,0.6588548535329969,0.6566176470588235,0.5513811250842405,0.6566176470588235,0.6566176470588235,0.5363667510904355,0.6758964777380704,0.48877941981390255,0.41768829888262066,0.5163537620112394
9,9,nine_shot,0.6622549019607843,0.601867221092347,0.6622549019607843,0.5377009816118392,0.6641151086759057,0.6622549019607843,0.5519691287253087,0.6622549019607843,0.6622549019607843,0.541165965432866,0.6796538521264534,0.4950531330157567,0.4209717943939279,0.521880546677205
10,10,ten_shot,0.6644607843137255,0.6046270957768054,0.6644607843137255,0.5376731258370911,0.6659582737131751,0.6644607843137255,0.5552483436810308,0.6644607843137255,0.6644607843137255,0.5389522287507442,0.6808697017168082,0.49752248118920905,0.42078862958585594,0.5239819380325732
