,index,shots,accuracy,kappa,f1_micro,f1_macro,f1_weighted,recall_micro,recall_macro,recall_weighted,precision_micro,precision_macro,precision_weighted,jaccard_score_micro,jaccard_score_macro,jaccard_score_weighted
0,0,zero_shot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,one_shot,0.7389705882352942,0.6895008231958292,0.7389705882352943,0.6570088458709585,0.7366320251125207,0.7389705882352942,0.6649101116400512,0.7389705882352942,0.7389705882352942,0.650370132834319,0.7350602298406879,0.5860058309037901,0.545369659828089,0.6037139247885498
2,2,two_shot,0.7696078431372549,0.7258080198580424,0.7696078431372549,0.6775497094600413,0.7669333384294492,0.7696078431372549,0.6882563702307015,0.7696078431372549,0.7696078431372549,0.6899258421044393,0.7673190522086356,0.6254980079681275,0.5729547469463451,0.6394580224248702
3,3,three_shot,0.7867647058823529,0.746142177830637,0.7867647058823529,0.6816628114705072,0.7832104726856125,0.7867647058823529,0.6937306941478641,0.7867647058823529,0.7867647058823529,0.6952196441800301,0.7836563864544701,0.6484848484848484,0.5792091370891397,0.6608519228910192
4,4,four_shot,0.7825980392156863,0.7412592712281991,0.7825980392156863,0.6866338273054898,0.7794550197510927,0.7825980392156863,0.6978997891642412,0.7825980392156863,0.7825980392156863,0.6953046070483381,0.7797414269491618,0.6428427622307228,0.5812440554257063,0.6559633921060788
5,5,five_shot,0.7838235294117647,0.7428075216020926,0.7838235294117647,0.6887910953963498,0.7814871207083243,0.7838235294117647,0.7008097190620919,0.7838235294117647,0.7838235294117647,0.6917829977799264,0.7815580721532664,0.6444981862152358,0.5837423269890701,0.6577452995088333
6,6,six_shot,0.7857843137254902,0.7451904147715702,0.7857843137254902,0.7003576661430968,0.7839135137332816,0.7857843137254902,0.7123510444069115,0.7857843137254902,0.7857843137254902,0.6990773523113911,0.784059514725428,0.64715381509891,0.5949130167125635,0.6602741081267278
7,7,seven_shot,0.7870098039215686,0.7466334706338023,0.7870098039215686,0.7010367111916385,0.7848130248758937,0.7870098039215686,0.7140148899978495,0.7870098039215686,0.7870098039215686,0.6987844428986384,0.7848064148807881,0.6488179430187917,0.59548567752992,0.6611787744014745
8,8,eight_shot,0.7897058823529411,0.7498098902795327,0.7897058823529411,0.697827964891908,0.787532684674248,0.7897058823529411,0.7100355266211608,0.7897058823529411,0.7897058823529411,0.6961343582653635,0.7875007420428412,0.6524908869987849,0.5931936631105634,0.6650887868250173
9,9,nine_shot,0.7914215686274509,0.7518450382301356,0.7914215686274509,0.6920387937242268,0.7892368735724357,0.7914215686274509,0.7038043610910306,0.7914215686274509,0.7914215686274509,0.6908245584926687,0.7889810801645392,0.6548367471101196,0.5884049555622408,0.6672785977196859
10,10,ten_shot,0.7985294117647059,0.7602935006586325,0.7985294117647059,0.7083965613762755,0.7962239920028825,0.7985294117647059,0.7189218170777705,0.7985294117647059,0.7985294117647059,0.7051328960357608,0.7958126494458316,0.6646266829865362,0.6049323883135292,0.6762345351529901
